cellid,Kon,001428-N276D
G002-119_2_16_Cg28v2_VRC01c_0548,5.13E+03,50
G002-119_2_16_Cg28v2_VRC01c_2068,,50
G002-136_2_16_Cg28v2_VRC01c_0563,,50
G002-136_2_16_Cg28v2_VRC01c_2110,,50
G002-145_2_16_Cg28v2_VRC01c_0509,9.65E+03,7.025
G002-145_2_16_Cg28v2_VRC01c_2025,4.22E+03,50
G002-230_2_16_Cg28v2_VRC01c_0539,1.30E+04,0.003
G002-230_2_16_Cg28v2_VRC01c_2042,2.02E+03,50
G002-293_2_16_Cg28v2_VRC01c_0536,6.21E+03,5.03
G002-293_2_16_Cg28v2_VRC01c_2073,4.86E+03,1.18
G002-341_2_16_Cg28v2_VRC01c_2022,1.93E+03,50
G002-341_2_16_Cg28v2_VRC01c_2078,9.98E+03,29.242
G002-480_2_16_Cg28v2_VRC01c_0546,4.89E+03,3.747
G002-480_2_16_Cg28v2_VRC01c_2104,4.19E+03,50
G002-493_2_16_Cg28v2_VRC01c_0553,2.80E+03,50
G002-577_2_16_Cg28v2_VRC01c_0512,9.42E+03,0.974
G002-577_2_16_Cg28v2_VRC01c_2017,3.89E+03,0.146
G002-620_2_16_Cg28v2_VRC01c_0567,,50
G002-630_2_16_Cg28v2_VRC01c_2015,5.91E+03,50
G002-820_2_16_Cg28v2_VRC01c_0520,8.20E+03,8.021
G002-820_2_16_Cg28v2_VRC01c_2024,5.04E+03,50
G002-855_2_16_Cg28v2_VRC01c_2020,,50
G002-855_2_16_Cg28v2_VRC01c_2026,4.48E+03,50
G002-943_2_16_Cg28v2_VRC01c_0516,8.71E+03,0.023
G002-943_2_16_Cg28v2_VRC01c_2012,1.12E+04,
G002-947_2_16_Cg28v2_VRC01c_0524,4.55E+03,1.57
G002-947_2_16_Cg28v2_VRC01c_2081,5.56E+03,50
G002-957_2_16_Cg28v2_VRC01c_2059,,50
G002-957_2_16_Cg28v2_VRC01c_2061,3.25E+03,0.016
G002-119_2_24_Cg28v2_VRC01c_0521,1.15E+04,0.043
G002-119_2_24_Cg28v2_VRC01c_2033,,50
G002-136_2_24_Cg28v2_VRC01c_0507,6.19E+03,46.432
G002-136_2_24_Cg28v2_VRC01c_2003,4.04E+03,50
G002-145_2_24_Cg28v2_VRC01c_0510,4.57E+03,50
G002-145_2_24_Cg28v2_VRC01c_2004,4.94E+03,50
G002-230_2_24_Cg28v2_VRC01c_0517,5.18E+03,25.058
G002-230_2_24_Cg28v2_VRC01c_2014,3.52E+03,12.382
G002-293_2_24_Cg28v2_VRC01c_0515,6.19E+03,0.042
G002-293_2_24_Cg28v2_VRC01c_2008,3.41E+03,50
G002-341_2_24_Cg28v2_VRC01c_2023,8.98E+03,0.017
G002-341_2_24_Cg28v2_VRC01c_2041,9.69E+03,22.702
G002-480_2_24_Cg28v2_VRC01c_0530,5.46E+03,50
G002-480_2_24_Cg28v2_VRC01c_2031,,50
G002-493_2_24_Cg28v2_VRC01c_0565,3.10E+03,50
G002-577_2_24_Cg28v2_VRC01c_0508,3.29E+03,19.735
G002-577_2_24_Cg28v2_VRC01c_2011,5.24E+03,50
G002-620_2_24_Cg28v2_VRC01c_0554,7.33E+03,6.364
G002-630_2_24_Cg28v2_VRC01c_2002,8.23E+03,50
G002-630_2_24_Cg28v2_VRC01c_2007,1.14E+03,50
G002-820_2_24_Cg28v2_VRC01c_0511,8.57E+03,0.03
G002-820_2_24_Cg28v2_VRC01c_2005,4.80E+03,
G002-831_2_24_Cg28v2_VRC01c_2000,1.08E+04,
G002-831_2_24_Cg28v2_VRC01c_2016,,50
G002-855_2_24_Cg28v2_VRC01c_2028,3.07E+03,0.09
G002-855_2_24_Cg28v2_VRC01c_2029,3.37E+03,0.029
G002-943_2_24_Cg28v2_VRC01c_0506,4.83E+03,0.053
G002-943_2_24_Cg28v2_VRC01c_2001,1.02E+04,0.013
G002-947_2_24_Cg28v2_VRC01c_0529,9.12E+03,50
G002-947_2_24_Cg28v2_VRC01c_2037,2.59E+03,50
G002-957_2_24_Cg28v2_VRC01c_2010,7.22E+03,
G002-957_2_24_Cg28v2_VRC01c_2013,4.36E+03,0.043
