cellid,Koff,191084-N276D
G002-119_2_16_Cg28v2_VRC01c_0548,7.13E-05,0.119
G002-119_2_16_Cg28v2_VRC01c_2068,3.25E-04,0.125
G002-136_2_16_Cg28v2_VRC01c_0563,6.00E-01,50
G002-136_2_16_Cg28v2_VRC01c_2110,2.90E-02,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.23E-03,50
G002-145_2_16_Cg28v2_VRC01c_2025,1.69E-04,0.088
G002-230_2_16_Cg28v2_VRC01c_0539,6.32E-04,0.531
G002-230_2_16_Cg28v2_VRC01c_2042,1.75E-03,50
G002-293_2_16_Cg28v2_VRC01c_0536,3.40E-04,0.048
G002-293_2_16_Cg28v2_VRC01c_2073,7.84E-04,1.657
G002-341_2_16_Cg28v2_VRC01c_2022,6.35E-04,0.666
G002-341_2_16_Cg28v2_VRC01c_2078,3.39E-04,0.043
G002-480_2_16_Cg28v2_VRC01c_0546,1.77E-04,0.057
G002-480_2_16_Cg28v2_VRC01c_2104,6.97E-04,32.91
G002-493_2_16_Cg28v2_VRC01c_0553,2.35E-02,50
G002-577_2_16_Cg28v2_VRC01c_0512,1.84E-04,0.016
G002-577_2_16_Cg28v2_VRC01c_2017,1.11E-04,0.04
G002-620_2_16_Cg28v2_VRC01c_0567,6.00E-01,50
G002-630_2_16_Cg28v2_VRC01c_2015,5.21E-04,0.026
G002-820_2_16_Cg28v2_VRC01c_0520,3.86E-05,0.023
G002-820_2_16_Cg28v2_VRC01c_2024,5.94E-04,1.102
G002-855_2_16_Cg28v2_VRC01c_2020,6.54E-04,0.608
G002-855_2_16_Cg28v2_VRC01c_2026,9.10E-04,4.87
G002-943_2_16_Cg28v2_VRC01c_0516,1.25E-04,0.098
G002-943_2_16_Cg28v2_VRC01c_2012,2.81E-04,
G002-947_2_16_Cg28v2_VRC01c_0524,6.51E-04,12.074
G002-947_2_16_Cg28v2_VRC01c_2081,1.19E-04,0.147
G002-957_2_16_Cg28v2_VRC01c_2059,6.18E-04,0.899
G002-957_2_16_Cg28v2_VRC01c_2061,2.11E-04,0.094
G002-119_2_24_Cg28v2_VRC01c_0521,4.30E-05,0.041
G002-119_2_24_Cg28v2_VRC01c_2033,6.00E-01,50
G002-136_2_24_Cg28v2_VRC01c_0507,1.17E-04,0.156
G002-136_2_24_Cg28v2_VRC01c_2003,8.64E-05,0.116
G002-145_2_24_Cg28v2_VRC01c_0510,9.37E-04,25.418
G002-145_2_24_Cg28v2_VRC01c_2004,1.00E-05,0.029
G002-230_2_24_Cg28v2_VRC01c_0517,4.63E-04,0.138
G002-230_2_24_Cg28v2_VRC01c_2014,1.00E-05,0.055
G002-293_2_24_Cg28v2_VRC01c_0515,3.16E-04,0.166
G002-293_2_24_Cg28v2_VRC01c_2008,7.95E-04,0.721
G002-341_2_24_Cg28v2_VRC01c_2023,1.23E-04,0.044
G002-341_2_24_Cg28v2_VRC01c_2041,1.09E-04,0.019
G002-480_2_24_Cg28v2_VRC01c_0530,1.37E-03,50
G002-480_2_24_Cg28v2_VRC01c_2031,1.65E-03,50
G002-493_2_24_Cg28v2_VRC01c_0565,8.87E-04,2
G002-577_2_24_Cg28v2_VRC01c_0508,3.79E-05,0.221
G002-577_2_24_Cg28v2_VRC01c_2011,2.20E-04,0.098
G002-620_2_24_Cg28v2_VRC01c_0554,1.24E-04,0.008
G002-630_2_24_Cg28v2_VRC01c_2002,4.33E-04,0.05
G002-630_2_24_Cg28v2_VRC01c_2007,1.60E-03,0.231
G002-820_2_24_Cg28v2_VRC01c_0511,2.66E-04,0.142
G002-820_2_24_Cg28v2_VRC01c_2005,1.84E-04,
G002-831_2_24_Cg28v2_VRC01c_2000,4.13E-05,
G002-831_2_24_Cg28v2_VRC01c_2016,5.18E-03,50
G002-855_2_24_Cg28v2_VRC01c_2028,6.87E-04,0.13
G002-855_2_24_Cg28v2_VRC01c_2029,5.46E-04,1.493
G002-943_2_24_Cg28v2_VRC01c_0506,1.00E-05,0.105
G002-943_2_24_Cg28v2_VRC01c_2001,1.27E-04,0.111
G002-947_2_24_Cg28v2_VRC01c_0529,2.31E-03,50
G002-947_2_24_Cg28v2_VRC01c_2037,1.65E-03,50
G002-957_2_24_Cg28v2_VRC01c_2010,1.00E-05,
G002-957_2_24_Cg28v2_VRC01c_2013,1.00E-05,0.037
