pseudogroup,psname,figA,figB,figF,figC,figD,figG,figH
1,eOD,0.023423521312287195,0.019569545271508625,70.99236641221374,27.0,0.017622448878082553,83.99064171122994,65.88987093234098
2,core,0.06293374310539762,0.053642036617131725,66.64994984954865,1.0,0.0004703123414441044,0.1404494382022472,0.08917201041326227
3,eOD->eOD,0.06278452185056194,0.05694970471511203,83.994708994709,70.0,0.059416840384239666,84.61143695014664,71.26761006754643
4,eOD->core,0.1293528090710727,0.09182748629413406,64.58462938276307,80.5,0.042653379685916586,82.6923076923077,66.75212853280554
5,eOD->eOD,0.13382651947664068,0.12348799007501177,87.5,139.0,0.10966918345819066,87.66233766233766,84.76897321428574
6,eOD->core,0.16373456153886928,0.14597795669108132,63.339658444022774,243.0,0.12562893125463406,84.92647058823529,69.43421493136925
7,eOD->eOD->core,0.15754468592838006,0.11840674661949152,67.95580110497238,195.0,0.1009862799373536,77.68924302788844,58.03499906688295
