"panel","y_label","comp","p.value","fdr"
"B","frequency IGK","G001 vs. G002",0.190055674575317,0.380111349150634
"B","frequency IGK","G002 vs. G003",0.62122843337295,0.62122843337295
"C","freq","G001 vs. G002",0.0213751153609475,0.0427502307218951
"C","freq","G002 vs. G003",0.590724927871078,0.590724927871078
"F","freq","G001 vs. G002",0.404579488180709,0.404579488180709
"F","freq","G002 vs. G003",0.00830491297531657,0.0166098259506331
