"panel","y_label","comp","p.value","fdr"
"B","frequency IGK","G001 vs. G002",0.190055674575317,0.51367967494329
"B","frequency IGK","G001 vs. G003",0.34245311662886,0.51367967494329
"B","frequency IGK","G002 vs. G003",0.62122843337295,0.62122843337295
"C","freq","G001 vs. G002",0.0213751153609475,0.0349809315583669
"C","freq","G001 vs. G003",0.0233206210389113,0.0349809315583669
"C","freq","G002 vs. G003",0.590724927871078,0.590724927871078
"F","freq","G001 vs. G002",0.404579488180709,0.404579488180709
"F","freq","G001 vs. G003",0.0674247258584143,0.101137088787621
"F","freq","G002 vs. G003",0.00830491297531657,0.0249147389259497
