weeks,isotype,frequency
-5,IGHG,1.0
8,IGHG,0.8172972972972973
8,IGHA,0.1464864864864865
8,UNK,0.02054054054054054
8,IGHM,0.013513513513513514
8,IGHD,0.002162162162162162
10,IGHG,0.7906137184115524
10,IGHA,0.18501805054151624
10,UNK,0.015342960288808664
10,IGHM,0.009025270758122744
16,IGHG,0.8629785675032057
16,IGHA,0.12566404103315626
16,UNK,0.007876900531232826
16,IGHM,0.0029309397325517493
16,IGHD,0.000549551199853453
21,IGHG,0.8505713448578963
21,IGHA,0.13214181072370348
21,UNK,0.01464986815118664
21,IGHM,0.0023439789041898623
21,IGHD,0.0002929973630237328
