weeks,isotype,frequency
-5,IGHG1,0.52
-5,IGHG3,0.32
-5,IGHG2,0.16
8,IGHG1,0.8354863221884499
8,IGHG3,0.07510131712259371
8,IGHG2,0.05977710233029382
8,IGHG4,0.029635258358662615
10,IGHG1,0.8260926459042136
10,IGHG2,0.07838262235017011
10,IGHG3,0.06464276367443078
10,IGHG4,0.030881968071185553
16,IGHG1,0.7632432432432432
16,IGHG3,0.1415015015015015
16,IGHG2,0.06852852852852853
16,IGHG4,0.026726726726726727
21,IGHG1,0.8197747183979975
21,IGHG3,0.0834793491864831
21,IGHG2,0.0625782227784731
21,IGHG4,0.03416770963704631
