pseudogroup,pubID,weeks,cluster,cluster_size
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-136_4,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-136_7,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-136_8,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-136_0,2
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-136_10,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-136_11,2
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-136_13,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-136_14,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-136_24,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-136_3,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-136_4,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_18_7_True_G002-136_12,2
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_18_7_True_G002-136_3,4
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_18_7_True_G002-136_7,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_19_7_True_G002-136_0,2
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_19_7_True_G002-136_2,2
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_19_7_True_G002-136_3,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_19_7_True_G002-136_5,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_21_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_22_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_22_7_True_G002-136_2,1
