trial,IGKV1-33,IGKV3-20,IGKV1-5,IGKV3-15,IGLV2-14,IGLV2-23,IGLV2-11,Other
G001,8,219,28,9,34,21,24,211
G002,236,4489,298,87,272,760,955,4089
G003,104,1530,125,39,69,472,330,1924
