trial,pseudogroup,weeks,pubID,KD_fix_iGL
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-502,0.0001
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-516,0.0001
G002,G002,iGL,G002-516,0.0001
G002,G002,iGL,G002-516,0.0001
G002,G002,iGL,G002-516,
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,0.0001
G002,G002,iGL,G002-546,0.0001
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-577,
G002,G002,iGL,G002-577,
G002,G002,iGL,G002-577,
G002,G002,iGL,G002-577,0.0001
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,0.0001
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,0.0001
G002,G002,iGL,G002-620,
G002,G002,iGL,G002-620,
G002,G002,iGL,G002-620,0.0001
G002,G002,iGL,G002-630,0.0001
G002,G002,iGL,G002-630,
G002,G002,iGL,G002-630,0.0001
G002,G002,iGL,G002-678,4.315e-05
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,0.0001
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-758,
G002,G002,iGL,G002-758,0.0001
G002,G002,iGL,G002-758,0.0001
G002,G002,iGL,G002-758,0.0001
G002,G002,iGL,G002-796,1.595e-06
G002,G002,iGL,G002-796,0.0001
G002,G002,iGL,G002-796,0.0001
G002,G002,iGL,G002-796,0.0001
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,0.0001
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-813,0.0001
G002,G002,iGL,G002-813,0.0001
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-813,0.0001
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-820,
G002,G002,iGL,G002-820,0.0001
G002,G002,iGL,G002-820,
G002,G002,iGL,G002-820,0.0001
G002,G002,iGL,G002-831,1.54e-05
G002,G002,iGL,G002-831,1.54e-05
G002,G002,iGL,G002-831,
G002,G002,iGL,G002-831,0.0001
G002,G002,iGL,G002-834,1.54e-05
G002,G002,iGL,G002-834,
G002,G002,iGL,G002-834,0.0001
G002,G002,iGL,G002-834,0.0001
G002,G002,iGL,G002-834,
G002,G002,iGL,G002-852,4.119e-05
G002,G002,iGL,G002-852,
G002,G002,iGL,G002-852,0.0001
G002,G002,iGL,G002-852,0.0001
G002,G002,iGL,G002-852,
G002,G002,iGL,G002-852,
G002,G002,iGL,G002-855,0.0001
G002,G002,iGL,G002-855,1.01e-05
G002,G002,iGL,G002-855,4.394e-06
G002,G002,iGL,G002-855,0.0001
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-866,0.0001
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-884,0.0001
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-905,
G002,G002,iGL,G002-905,0.0001
G002,G002,iGL,G002-905,0.0001
G002,G002,iGL,G002-905,0.0001
G002,G002,iGL,G002-905,0.0001
G002,G002,iGL,G002-905,
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-931,0.0001
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-943,
G002,G002,iGL,G002-943,
G002,G002,iGL,G002-943,0.0001
G002,G002,iGL,G002-943,
G002,G002,iGL,G002-947,
G002,G002,iGL,G002-947,0.0001
G002,G002,iGL,G002-947,0.0001
G002,G002,iGL,G002-947,0.0001
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,0.0001
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
G003,G003,iGL,G003-135,4.322e-05
G003,G003,iGL,G003-135,
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-210,2.818e-06
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-210,4.883e-05
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-210,4.322e-05
G003,G003,iGL,G003-210,0.0001
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-243,9.62e-08
G003,G003,iGL,G003-243,4.322e-05
G003,G003,iGL,G003-243,7.352e-05
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-243,
