trial,pseudogroup,weeks,pubID,KD_fix_iGL
G002,G002,iGL,G002-302,
G002,G002,iGL,G002-304,
G002,G002,iGL,G002-304,
G002,G002,iGL,G002-304,
G002,G002,iGL,G002-304,2.502e-08
G002,G002,iGL,G002-304,8.071e-10
G002,G002,iGL,G002-304,
G002,G002,iGL,G002-341,
G002,G002,iGL,G002-341,1.375e-07
G002,G002,iGL,G002-341,
G002,G002,iGL,G002-341,1.435e-08
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-477,5.402e-09
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-479,
G002,G002,iGL,G002-479,
G002,G002,iGL,G002-479,
G002,G002,iGL,G002-479,
G002,G002,iGL,G002-480,
G002,G002,iGL,G002-480,
G002,G002,iGL,G002-493,3.008e-09
G002,G002,iGL,G002-493,
G002,G002,iGL,G002-493,
G002,G002,iGL,G002-493,1.893e-05
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-502,4.022e-07
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-516,
G002,G002,iGL,G002-516,1.085e-05
G002,G002,iGL,G002-516,6.111e-06
G002,G002,iGL,G002-516,3.438e-07
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,1.225e-08
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,0.0001
G002,G002,iGL,G002-577,
G002,G002,iGL,G002-577,
G002,G002,iGL,G002-577,5.39e-08
G002,G002,iGL,G002-577,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,7.601e-09
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,0.0001
G002,G002,iGL,G002-620,
G002,G002,iGL,G002-620,
G002,G002,iGL,G002-620,1.841e-07
G002,G002,iGL,G002-630,
G002,G002,iGL,G002-630,
G002,G002,iGL,G002-630,3.256e-05
G002,G002,iGL,G002-630,8.42e-07
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,4.77e-09
G002,G002,iGL,G002-678,1.315e-08
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-758,7.279e-08
G002,G002,iGL,G002-758,
G002,G002,iGL,G002-758,4.958e-05
G002,G002,iGL,G002-758,0.0001
G002,G002,iGL,G002-796,1.368e-08
G002,G002,iGL,G002-796,2.194e-09
G002,G002,iGL,G002-796,2.01e-09
G002,G002,iGL,G002-796,1.706e-08
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,5.379e-08
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-813,1.69e-06
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-813,5.535e-05
G002,G002,iGL,G002-813,1.977e-07
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-820,
G002,G002,iGL,G002-820,
G002,G002,iGL,G002-820,7.031e-05
G002,G002,iGL,G002-820,0.0001
G002,G002,iGL,G002-831,1.075e-08
G002,G002,iGL,G002-831,2.413e-08
G002,G002,iGL,G002-831,3.815e-08
G002,G002,iGL,G002-831,
G002,G002,iGL,G002-834,8.689e-09
G002,G002,iGL,G002-834,
G002,G002,iGL,G002-834,4.633e-08
G002,G002,iGL,G002-834,9.015e-06
G002,G002,iGL,G002-834,
G002,G002,iGL,G002-834,
G002,G002,iGL,G002-852,4.958e-05
G002,G002,iGL,G002-852,
G002,G002,iGL,G002-852,
G002,G002,iGL,G002-852,3.714e-08
G002,G002,iGL,G002-852,
G002,G002,iGL,G002-852,0.0001
G002,G002,iGL,G002-855,3.437e-08
G002,G002,iGL,G002-855,2.536e-06
G002,G002,iGL,G002-855,2.608e-11
G002,G002,iGL,G002-855,3.024e-10
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-866,
G002,G002,iGL,G002-866,1.098e-06
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-884,1.422e-06
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-884,
G002,G002,iGL,G002-905,2.303e-07
G002,G002,iGL,G002-905,4.218e-09
G002,G002,iGL,G002-905,
G002,G002,iGL,G002-905,7.549e-07
G002,G002,iGL,G002-905,
G002,G002,iGL,G002-905,7.149e-07
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-931,4.492e-07
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-943,
G002,G002,iGL,G002-943,
G002,G002,iGL,G002-943,7.625e-06
G002,G002,iGL,G002-943,
G002,G002,iGL,G002-947,4.958e-05
G002,G002,iGL,G002-947,1.757e-06
G002,G002,iGL,G002-947,4.958e-05
G002,G002,iGL,G002-947,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
