weeks,isotype,frequency
-5,IGHM,0.8095507205425262
-5,IGHA,0.06922859564848827
-5,IGHG,0.06682678722803052
-5,IGHD,0.048742582650466236
-5,UNK,0.005510031082226617
-5,IGHE,0.00014128284826222097
4,IGHG,0.7774743586986905
4,IGHA,0.12636807362332553
4,IGHM,0.0815361128432279
4,UNK,0.013266820048594835
4,IGHD,0.001354634786161223
8,IGHG,0.7936180346086681
8,IGHA,0.1303154695756696
8,IGHM,0.06336606717619576
8,UNK,0.010954119701539927
8,IGHD,0.001746308937926655
16,IGHG,0.8564847794082728
16,IGHA,0.10343353754096025
16,IGHM,0.036709882699339884
16,UNK,0.0029443890392743506
16,IGHD,0.00037992116635798075
16,IGHE,4.749014579474759e-05
24,IGHG,0.8333949932174127
24,IGHA,0.12578616352201258
24,IGHM,0.03662597114317425
24,UNK,0.003699593044765076
24,IGHD,0.0004932790726353435
