pseudogroup,frequency,is_cp
1.0,0.5,False
1.0,0.38333333333333336,True
2.0,0.5342465753424658,False
2.0,0.5913978494623656,True
3.0,0.4230769230769231,False
3.0,0.49206349206349204,True
4.0,0.475,False
4.0,0.4444444444444444,True
5.0,0.4074074074074074,False
5.0,0.5072463768115942,True
6.0,0.6842105263157895,False
6.0,0.574468085106383,True
