pseudogroup,psname,IGKV1-33,IGKV3-20,IGKV1-5,IGKV3-15,IGLV2-14,IGLV2-23,IGLV2-11,Other
1,eOD,0.29161451814768463,0.35294117647058826,0.12265331664580725,0.15769712140175218,0.017521902377972465,0.007509386733416771,0.0050062578222778474,0.04505632040050062
2,core,0.0,0.625,0.375,0.0,0.0,0.0,0.0,0.0
3,eOD->eOD,0.29375591296121095,0.3488647114474929,0.18330179754020814,0.11116367076631978,0.01348155156102176,0.004730368968779565,0.002838221381267739,0.041863765373699145
4,eOD->core,0.3299784327821711,0.3443565780014378,0.14018691588785046,0.12365204888569374,0.014018691588785047,0.00826743350107836,0.005391804457225018,0.03414809489575845
5,eOD->eOD,0.32360742705570295,0.35610079575596815,0.14820954907161804,0.11571618037135278,0.011273209549071617,0.005305039787798408,0.0033156498673740055,0.03647214854111406
6,eOD->core,0.3344256326233388,0.3451665756417258,0.14090660841070454,0.11924267249226288,0.014563990533406153,0.006553795740032769,0.0032768978700163844,0.03586382668851265
7,eOD->eOD->core,0.29876252209781967,0.3243959929286977,0.21596935769004125,0.09752504419563936,0.013847967000589274,0.0041249263406010605,0.0020624631703005302,0.04331172657631114
