cellid,KD_fix,191084-N276D
G002-119_2_16_Cg28v2_VRC01c_0548,4.75E-09,0.119
G002-119_2_16_Cg28v2_VRC01c_2068,3.49E-08,0.125
G002-136_2_16_Cg28v2_VRC01c_0563,5.00E-05,50
G002-136_2_16_Cg28v2_VRC01c_2110,1.58E-05,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.10E-07,50
G002-145_2_16_Cg28v2_VRC01c_2025,1.22E-08,0.088
G002-230_2_16_Cg28v2_VRC01c_0539,3.72E-08,0.531
G002-230_2_16_Cg28v2_VRC01c_2042,3.68E-07,50
G002-293_2_16_Cg28v2_VRC01c_0536,2.22E-08,0.048
G002-293_2_16_Cg28v2_VRC01c_2073,1.31E-07,1.657
G002-341_2_16_Cg28v2_VRC01c_2022,1.79E-07,0.666
G002-341_2_16_Cg28v2_VRC01c_2078,5.63E-08,0.043
G002-480_2_16_Cg28v2_VRC01c_0546,1.51E-08,0.057
G002-480_2_16_Cg28v2_VRC01c_2104,2.41E-07,32.91
G002-493_2_16_Cg28v2_VRC01c_0553,1.63E-05,50
G002-577_2_16_Cg28v2_VRC01c_0512,9.04E-09,0.016
G002-577_2_16_Cg28v2_VRC01c_2017,1.44E-08,0.04
G002-620_2_16_Cg28v2_VRC01c_0567,5.00E-05,50
G002-630_2_16_Cg28v2_VRC01c_2015,4.89E-08,0.026
G002-820_2_16_Cg28v2_VRC01c_0520,3.23E-09,0.023
G002-820_2_16_Cg28v2_VRC01c_2024,1.41E-07,1.102
G002-855_2_16_Cg28v2_VRC01c_2020,7.56E-08,0.608
G002-855_2_16_Cg28v2_VRC01c_2026,1.03E-07,4.87
G002-943_2_16_Cg28v2_VRC01c_0516,1.62E-08,0.098
G002-943_2_16_Cg28v2_VRC01c_2012,2.05E-08,
G002-947_2_16_Cg28v2_VRC01c_0524,6.86E-08,12.074
G002-947_2_16_Cg28v2_VRC01c_2081,2.27E-08,0.147
G002-957_2_16_Cg28v2_VRC01c_2059,2.82E-07,0.899
G002-957_2_16_Cg28v2_VRC01c_2061,3.31E-08,0.094
G002-119_2_24_Cg28v2_VRC01c_0521,3.20E-09,0.041
G002-119_2_24_Cg28v2_VRC01c_2033,5.00E-05,50
G002-136_2_24_Cg28v2_VRC01c_0507,9.53E-09,0.156
G002-136_2_24_Cg28v2_VRC01c_2003,6.19E-09,0.116
G002-145_2_24_Cg28v2_VRC01c_0510,2.01E-07,25.418
G002-145_2_24_Cg28v2_VRC01c_2004,4.95E-10,0.029
G002-230_2_24_Cg28v2_VRC01c_0517,5.06E-08,0.138
G002-230_2_24_Cg28v2_VRC01c_2014,7.38E-10,0.055
G002-293_2_24_Cg28v2_VRC01c_0515,3.28E-08,0.166
G002-293_2_24_Cg28v2_VRC01c_2008,1.82E-07,0.721
G002-341_2_24_Cg28v2_VRC01c_2023,9.46E-09,0.044
G002-341_2_24_Cg28v2_VRC01c_2041,4.39E-09,0.019
G002-480_2_24_Cg28v2_VRC01c_0530,4.35E-07,50
G002-480_2_24_Cg28v2_VRC01c_2031,2.47E-07,50
G002-493_2_24_Cg28v2_VRC01c_0565,1.89E-07,2
G002-577_2_24_Cg28v2_VRC01c_0508,5.62E-09,0.221
G002-577_2_24_Cg28v2_VRC01c_2011,1.26E-08,0.098
G002-620_2_24_Cg28v2_VRC01c_0554,5.15E-09,0.008
G002-630_2_24_Cg28v2_VRC01c_2002,3.05E-08,0.05
G002-630_2_24_Cg28v2_VRC01c_2007,4.34E-07,0.231
G002-820_2_24_Cg28v2_VRC01c_0511,3.03E-08,0.142
G002-820_2_24_Cg28v2_VRC01c_2005,7.70E-09,
G002-831_2_24_Cg28v2_VRC01c_2000,2.44E-09,
G002-831_2_24_Cg28v2_VRC01c_2016,2.08E-06,50
G002-855_2_24_Cg28v2_VRC01c_2028,7.62E-08,0.13
G002-855_2_24_Cg28v2_VRC01c_2029,8.19E-08,1.493
G002-943_2_24_Cg28v2_VRC01c_0506,8.57E-10,0.105
G002-943_2_24_Cg28v2_VRC01c_2001,6.60E-09,0.111
G002-947_2_24_Cg28v2_VRC01c_0529,3.34E-07,50
G002-947_2_24_Cg28v2_VRC01c_2037,3.80E-07,50
G002-957_2_24_Cg28v2_VRC01c_2010,5.05E-10,
G002-957_2_24_Cg28v2_VRC01c_2013,6.36E-10,0.037
