"comp","SampleSizes","summary","p.value","panel","weeks","fdr"
"eOD vs. eOD->eOD","16 vs. 26","0.0176 [0.0018, 0.0624] vs. 0.0472 [0.0000, 0.1953]",0.0252758001785612,"D","8 vs. 16",0.0252758001785612
"eOD vs. eOD->eOD","16 vs. 26","16/16 = 100.0\% (80.6\%, 100.0\%) vs. 24/26 = 92.3\% (75.9\%, 97.9\%)",0.335084064608,"E","8 vs. 16",0.335084064608
