"","panel","comp","week","est","lci","uci","p.value","fdr"
"1","A","eOD->eOD vs. eOD->core","16",0.018513668614523,0.00741568368850757,0.0462204079847095,1.27501146878973e-17,1.02000917503178e-16
"2","A","eOD->eOD vs. eOD->core","24",0.0134208076800967,0.00376847712242811,0.0477959857349718,2.88573443401324e-11,1.15429377360529e-10
"3","A","eOD->eOD vs. eOD->eOD->core","24",0.0690602055031365,0.015283320757092,0.312059928593877,0.000514027652413809,0.00102805530482762
"4","A","eOD->core vs. eOD->eOD->core","24",5.14575628749638,1.1410823431583,23.2049929867639,0.033031370406332,0.0528501926501311
"5","A","eOD->eOD","16 vs. 24",0.527617646846615,0.168897674896771,1.64821914472241,0.271262600917778,0.31001440104889
"6","A","eOD->core","16 vs. 24",0.382477136994811,0.115971588685912,1.26141895598192,0.114444371046074,0.152592494728099
"7","A","eOD->eOD vs. eOD->eOD->core","16 vs. 24",0.0364373831183081,0.010398555536954,0.127679549702081,2.25359615410569e-07,6.00958974428184e-07
"8","A","eOD->core vs. eOD->eOD->core","16 vs. 24",1.96813413251465,0.479441141086661,8.07930657512977,0.347371153286924,0.347371153286924
"9","B","eOD->eOD vs. eOD->core","16",NA,NA,NA,NA,NA
"10","B","eOD->eOD vs. eOD->core","24",NA,NA,NA,NA,NA
"11","B","eOD->eOD vs. eOD->eOD->core","24",NA,NA,NA,NA,NA
"12","B","eOD->core vs. eOD->eOD->core","24",2.80415311414004,0.416758745510344,18.8676896939794,0.289098867633726,0.433648301450589
"13","B","eOD->eOD","16 vs. 24",NA,NA,NA,NA,NA
"14","B","eOD->core","16 vs. 24",1.45041477242474,0.561006279772677,3.74987426686263,0.442919189686288,0.442919189686288
"15","B","eOD->eOD vs. eOD->eOD->core","16 vs. 24",NA,NA,NA,NA,NA
"16","B","eOD->core vs. eOD->eOD->core","16 vs. 24",4.06718510088956,0.587102587558402,28.1756459525951,0.155410134554392,0.433648301450589
"17","C","eOD->eOD vs. eOD->core","16",0.0381766280658056,0.0146190667781102,0.0996954834803247,2.59805856990855e-11,2.07844685592684e-10
"18","C","eOD->eOD vs. eOD->core","24",0.0634752731010568,0.0129997176084381,0.309938293785585,0.000654888660560276,0.0026195546422411
"19","C","eOD->eOD vs. eOD->eOD->core","24",0.228345336229997,0.0308346503571886,1.69100644807002,0.148253829159188,0.2372061266547
"20","C","eOD->core vs. eOD->eOD->core","24",3.59739037067957,0.845365483662006,15.3084289921544,0.0831642810275121,0.166328562055024
"21","C","eOD->eOD","16 vs. 24",0.405776497565438,0.0831668631987055,1.97980974204924,0.264695862716918,0.302509557390763
"22","C","eOD->core","16 vs. 24",0.674673885722934,0.248338944442211,1.83291772097552,0.440272841761112,0.440272841761112
"23","C","eOD->eOD vs. eOD->eOD->core","16 vs. 24",0.0926571707708122,0.0217574560901803,0.394593525073285,0.00129169328880531,0.00344451543681416
"24","C","eOD->core vs. eOD->eOD->core","16 vs. 24",2.42706533984866,0.512540029178258,11.4930460618637,0.263756509765673,0.302509557390763
"25","D","eOD->eOD vs. eOD->core","16",NA,NA,NA,NA,NA
"26","D","eOD->eOD vs. eOD->core","24",NA,NA,NA,NA,NA
"27","D","eOD->eOD vs. eOD->eOD->core","24",NA,NA,NA,NA,NA
"28","D","eOD->core vs. eOD->eOD->core","24",0.903292565439482,0.0422826132912589,19.2972334315704,0.948086369539194,0.948086369539194
"29","D","eOD->eOD","16 vs. 24",NA,NA,NA,NA,NA
"30","D","eOD->core","16 vs. 24",0.931729429222516,0.30574495042931,2.83935917195149,0.901015091770843,0.948086369539194
"31","D","eOD->eOD vs. eOD->eOD->core","16 vs. 24",NA,NA,NA,NA,NA
"32","D","eOD->core vs. eOD->eOD->core","16 vs. 24",0.841624266417878,0.0364082976283814,19.4552190561985,0.914308360502581,0.948086369539194
