"","panel","comp","week","est","lci","uci","p.value","fdr"
"1","A","eOD->eOD vs. eOD->core","16",NA,NA,NA,NA,NA
"2","A","eOD->eOD vs. eOD->core","24",NA,NA,NA,NA,NA
"3","A","eOD->eOD vs. eOD->eOD->core","24",NA,NA,NA,NA,NA
"4","A","eOD->core vs. eOD->eOD->core","24",1.27135505332813,0.843787191373674,1.91558213747186,0.251023449035458,0.251023449035458
"5","A","eOD->eOD","16 vs. 24",NA,NA,NA,NA,NA
"6","A","eOD->core","16 vs. 24",0.620345059961911,0.416639994490554,0.923646309782849,0.0187206287336557,0.056161886200967
"7","A","eOD->eOD vs. eOD->eOD->core","16 vs. 24",NA,NA,NA,NA,NA
"8","A","eOD->core vs. eOD->eOD->core","16 vs. 24",0.788678826789713,0.550521478095211,1.12986380473029,0.195565886855273,0.251023449035458
"9","B","eOD->eOD vs. eOD->core","16",NA,NA,NA,NA,NA
"10","B","eOD->eOD vs. eOD->core","24",NA,NA,NA,NA,NA
"11","B","eOD->eOD vs. eOD->eOD->core","24",NA,NA,NA,NA,NA
"12","B","eOD->core vs. eOD->eOD->core","24",1.14526723218432,0.1752679711812,7.48360937982843,0.88737431024469,0.88737431024469
"13","B","eOD->eOD","16 vs. 24",NA,NA,NA,NA,NA
"14","B","eOD->core","16 vs. 24",1.1759562299523,0.384524089797472,3.59632358922422,0.776266207790743,0.88737431024469
"15","B","eOD->eOD vs. eOD->eOD->core","16 vs. 24",NA,NA,NA,NA,NA
"16","B","eOD->core vs. eOD->eOD->core","16 vs. 24",1.34678413664737,0.206005750966699,8.80474211138998,0.755964517680597,0.88737431024469
"17","C","eOD->eOD vs. eOD->core","16",NA,NA,NA,NA,NA
"18","C","eOD->eOD vs. eOD->core","24",NA,NA,NA,NA,NA
"19","C","eOD->eOD vs. eOD->eOD->core","24",NA,NA,NA,NA,NA
"20","C","eOD->core vs. eOD->eOD->core","24",0.795160136131006,0.444129499805869,1.42363802082107,0.440508192994574,0.490606796341618
"21","C","eOD->eOD","16 vs. 24",NA,NA,NA,NA,NA
"22","C","eOD->core","16 vs. 24",2.54675163767538,0.40020999479683,16.2063516362075,0.322139196045806,0.490606796341618
"23","C","eOD->eOD vs. eOD->eOD->core","16 vs. 24",NA,NA,NA,NA,NA
"24","C","eOD->core vs. eOD->eOD->core","16 vs. 24",2.02507537890583,0.272369353108729,15.0565041310412,0.490606796341618,0.490606796341618
"25","D","eOD->eOD vs. eOD->core","16",NA,NA,NA,NA,NA
"26","D","eOD->eOD vs. eOD->core","24",NA,NA,NA,NA,NA
"27","D","eOD->eOD vs. eOD->eOD->core","24",NA,NA,NA,NA,NA
"28","D","eOD->core vs. eOD->eOD->core","24",NA,NA,NA,NA,NA
"29","D","eOD->eOD","16 vs. 24",NA,NA,NA,NA,NA
"30","D","eOD->core","16 vs. 24",NA,NA,NA,NA,NA
"31","D","eOD->eOD vs. eOD->eOD->core","16 vs. 24",NA,NA,NA,NA,NA
"32","D","eOD->core vs. eOD->eOD->core","16 vs. 24",NA,NA,NA,NA,NA
