"","outcome","comp","week","est","lci","uci","p.value","fdr"
"1","g1","eOD->core vs. eOD->eOD","16",NA,NA,NA,NA,NA
"2","g1","eOD->core vs. eOD->eOD->core","24",0.148484848484849,0.0365983912774312,0.602424026303157,0.00760277082632651,0.015205541652653
"3","g1","eOD->core vs. eOD->eOD->core","16 vs. 24",0.404444444444444,0.115390913236993,1.41757530167059,0.157170812683976,0.157170812683976
"4","ge1","eOD->core vs. eOD->eOD","16",0.0151515151515151,0.00222166043430813,0.103331907901616,1.89255005917593e-05,5.67765017752778e-05
"5","ge1","eOD->core vs. eOD->eOD->core","24",0.342857142857143,0.0805490314958388,1.45937223856299,0.147486912765954,0.22123036914893
"6","ge1","eOD->core vs. eOD->eOD->core","16 vs. 24",0.357142857142857,0.0678619497145085,1.87956610360833,0.224293840500995,0.224293840500995
"7","ic50","eOD->core vs. eOD->eOD","16",5.61619556949711,3.35213225553307,9.40942966160596,5.60323426786969e-11,1.68097028036091e-10
"8","ic50","eOD->core vs. eOD->eOD->core","24",6.53743794837186,2.59959763116492,16.4402730701293,6.59560437283362e-05,9.89340655925044e-05
"9","ic50","eOD->core vs. eOD->eOD->core","16 vs. 24",3.005816840064,1.5261694179084,5.92000781171112,0.00146027750627782,0.00146027750627782
"10","ic50_v2","eOD->core vs. eOD->eOD","16",4.93427191921019,3.05340073400533,7.97374517584816,7.10574043919708e-11,2.13172213175912e-10
"11","ic50_v2","eOD->core vs. eOD->eOD->core","24",5.86042751379722,2.45722230844679,13.9770058762737,6.68530535681075e-05,0.000100279580352161
"12","ic50_v2","eOD->core vs. eOD->eOD->core","16 vs. 24",2.81353463728799,1.49629615162527,5.29038128355872,0.00132356847351441,0.00132356847351441
