"comp","SampleSizes","summary","p.value","panel","weeks","fdr"
"G001 vs. G002","34 vs. 47","0.0000 [0.0000, 0.0102] vs. 0.0000 [0.0000, 0.0170]",0.0396599068650683,"A",4,0.0396599068650683
"G001 vs. G002","31 vs. 46","0.0068 [0.0000, 0.0203] vs. 0.0136 [0.0000, 0.0239]",0.0106288899254648,"A",8,0.0159433348881971
"G001 vs. G002","31 vs. 26","0.0153 [0.0034, 0.0373] vs. 0.0306 [0.0203, 0.0372]",1.37548586269494e-10,"A",16,4.12645758808483e-10
"G001 vs. G002","34 vs. 47","0.0000 [0.0000, 0.0073] vs. 0.0000 [0.0000, 0.0055]",0.000852219521922264,"B",4,0.0012783292828834
"G001 vs. G002","31 vs. 46","0.0054 [0.0000, 0.0188] vs. 0.0072 [0.0000, 0.0145]",0.142000890032381,"B",8,0.142000890032381
"G001 vs. G002","31 vs. 26","0.0073 [0.0000, 0.0220] vs. 0.0180 [0.0108, 0.0217]",9.11144155944867e-06,"B",16,2.7334324678346e-05
