Bin Center,% Frequency
1,82.99427845
2,10.97690189
3,3.093875821
4,0.995973723
5,0.815850816
6,0.296673024
7,0.211909303
8,0.116550117
9,0.105954651
10,0.074168256
11,0.105954651
12,0.031786395
13,0.031786395
14,0.010595465
15,0
16,0.02119093
17,0.031786395
18,0.010595465
19,0
20,0
21,0.031786395
22,0
23,0.010595465
24,0
25,0.010595465
26,0
27,0
28,0
29,0.010595465
30,0
31,0
32,0
33,0.010595465
