pseudogroup,psname,is_cp,n Abs tested,N participants,Median $\mathregular{K_{off}}$ (s$^{-1}$)
1,eOD,False,17,9,1.5e-1
1,eOD,True,28,15,1.5e-1
2,eOD->eOD,False,32,17,6.1e-2
2,eOD->eOD,True,44,24,7.3e-2
3,eOD->core,False,21,11,6.8e-2
3,eOD->core,True,29,16,6.7e-5
4,eOD->eOD,False,19,10,8.8e-2
4,eOD->eOD,True,22,12,8.9e-2
5,eOD->core,False,22,12,7.7e-2
5,eOD->core,True,32,17,5.2e-5
6,eOD->eOD->core,False,16,8,6.2e-3
6,eOD->eOD->core,True,22,11,2.6e-4
